date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase
06-07-2025,Can’t use on iPad,"I installed this on my iPhone and it works great.  I have already been using chat GPT through Google. So I had to use my Google log on on this iPhone app. I clicked on my Google account, and it filled in the password using Authenticator. But the password was wrong! so I typed in the password. Then it authenticated me on Google on my iPad. I confirmed that I was trying to login on my iPhone and all is good.

So now I tried to install it on my iPad. Again, I am asked to login. Unfortunately, even though. I typed in my password on the iPhone authenticateDid not update the password file! So I had to type in the password again. Unfortunately on the iPad this app does not fill the full screen. It looks like it is only meant for iPhone. To add insult to injury, no numbers appear on the keyboard. They are all blank. So I have to click the button to view the password, and try to guess where the proper numbers are. Finally, I got my password typed incorrectly. I clicked on, and I get a transfer error message and the whole app locks up. I guess I will only use chat GPT on my iPhone. But you guys need to figure this stuff out!",2,martinezjesse,83,19,Google Play,hi,Micronesia,3.5.6,Yes
########,OpenAI iOS App Review,"The OpenAI iOS App is a fantastic tool for anyone interested in artificial intelligence and machine learning. The app is well-designed and easy to navigate, with a wide range of resources and information available at your fingertips. Whether you're a student, researcher, or simply curious about AI, this app is an excellent starting point.

One of the standout features of the OpenAI iOS App is its interactive tutorials. These tutorials provide a hands-on approach to learning AI concepts and allow users to experiment with real-world problems. The app also includes a section on current research and news in the field, which is helpful for staying up-to-date with the latest developments.

Overall, I highly recommend the OpenAI iOS App to anyone looking to learn more about artificial intelligence. It's a comprehensive resource that's both informative and engaging, and it's a great way to explore the exciting world of AI right from your mobile device.",5,rlee,135,24,App Store,pt,Luxembourg,2.2.2,Yes
########,It’s a great start but please add shortcut support,"Works well, and I enjoy the haptic feedback, that’s a nice touch. But please add support for iOS shortcuts, that would make this so useful. Right now it’s basically the same thing as going to the ChatGPT website, but if you were to add shortcut support then it could do so much more to integrate with other workflows.

It also doesn’t appear to support the ChatGPT developer plug-ins alpha, which is different from the paid premium plan chat GPT plug-ins. I don’t have a paid premium plan but on the web I can access the plug in supporting model. On the mobile app there is no option for that, although maybe if you update to premium you get access to it? I wish there was a way to use my paid API plan to access that, rather than having to separately pay $20 a month for premium chat when I already have pay-as-you-go API access. But I imagine that’s not a priority for the target market for this app 🤷‍♂️",4,colonjoseph,97,26,Website,de,Armenia,4.9.2,Yes
########,🤖 💡🌐,"Dear OpenAI Team, 

 • I would like to share my suggestions and ideas regarding the functionality of ChatGPT. I believe that adding the ability to voice responses in different languages in ChatGPT would be an incredibly useful feature. It would allow users to conveniently listen to lengthy texts in their preferred language. 

 • Imagine the convenience and effectiveness that can be achieved through this feature! It would enable users to easily listen to translated responses and texts, while expanding communication possibilities with individuals from different cultures. Such an enhancement would enrich the experience of using ChatGPT and increase its usefulness. 

 • Additionally, I would like to propose the implementation of a conversational translator. This feature would enable users to communicate in different languages, with ChatGPT serving as a reliable real-time assistant, translating and facilitating conversations between people from different language groups. This feature has the potential to greatly enhance cross-linguistic communication and foster meaningful interactions. 

 • I hope that the OpenAI team will consider these suggestions and the potential implementation of voicing responses in different languages and a translator in future updates to ChatGPT. Your continuous pursuit of innovation and product improvement inspires me, and I appreciate your attention to user feedback. 

 — Best regards, Noakhcho.",5,umahoney,163,19,Amazon,ar,Mayotte,3.0.7,No
########,Wow! What a gift. I rarely write reviews. I had too.,"I very rarely give reviews but want to with this app. I have been using ChatGPT for about two weeks. At first I was kinda bummed. It seemed like ChatGPT was…lacking. And, in my honest opinion I’d LOVE to see what this can do without programmed “perimeters”, however…As I learned how to interact with the AI, I realized how important it is to understand how to interact effectively with this AI. I’ve had some moments where this AI has responded with an intelligence and even more understanding then most people I know. In short…it’s amazing. 
*Side note, some of the content I’ve received from this AI is so absolutely amazingly human and this is good. On the other hand, it’s so good one must consider the implications of such when NOT bridled by the programming limitations placed on this AI. Suppose people in high places had access to such without the protocols in place? I highly recommend you try this.",5,ikelly,40,24,Google Play,ar,Estonia,3.9.4,No
########,A Leap into the Future with the ChatGPT iOS App,"The ChatGPT iOS App is an ingenious innovation that brings the power of AI right to your fingertips. It impeccably transforms the familiar user experience of the web platform into a streamlined mobile application, offering a delightful blend of accessibility and functionality.

From the moment you launch the app, you are immersed in a responsive and intuitive interface, designed with a clear focus on user convenience. The fact that it is native to iOS ensures fluid navigation and lower load times, resulting in a much faster response rate.

One of the outstanding benefits of this native mobile app is the ability to use it on-the-go. Whether you're looking to generate creative ideas, get answers to complex questions, or just enjoy an intriguing conversation, the ChatGPT iOS app makes it possible anywhere, anytime. 

Furthermore, the app integrates seamlessly with iOS features, optimizing the use of system resources and ensuring the smooth running of your device. Its support for push notifications is a handy feature, keeping you updated and engaged without having to actively open the app.

To conclude, the ChatGPT iOS App successfully brings a comprehensive, efficient, and enjoyable AI interaction experience right to your smartphone. It's an essential tool for anyone keen on harnessing the power of AI in their daily lives. 

- ChatGPT",5,walterscrystal,116,21,Amazon,de,Austria,4.7.1,Yes
########,"Exceptional, Unbeatable App Experience!","In a digital landscape teeming with applications, OpenAI's ChatGPT app stands head and shoulders above the rest. The innovation, quality, and usability of this app are truly commendable. 

The AI, clearly at the forefront of modern technology, boasts an intuitive design that makes communication a breeze. The responses it provides are not only incredibly accurate and helpful, but they're also nuanced and engaging, creating an interaction that feels almost human. 

The app runs flawlessly, consistently demonstrating its superb optimization for iOS devices. It's speedy, reliable, and operates smoothly, proving it's a product of a team that values quality and user experience above all.  

The sheer utility and versatility of the ChatGPT app are astonishing. It can help with everything from generating ideas and explaining complex topics to casual chats. It's like having a personal assistant, teacher, and companion rolled into one, always at your fingertips.

The development team's commitment to ethical AI use and regular updates to ensure the app stays relevant and efficient is evident. Issues, if any, are addressed promptly - a testament to their excellent customer service. 

In a nutshell, this app is a game-changer. For anyone seeking an intelligent, reliable, and user-friendly app, look no further than ChatGPT. Five stars truly don't seem enough for this extraordinary app!",5,adamsrussell,146,23,Amazon,pt,Poland,3.4.0,No
########,The other sources weren’t giving responsible results like CHATGPT,"I act as a learning coach for my child who goes to school online. Today, we were learning about how to check if a source is true. I gave him the example of if a person were to say ‘pigs can fly’ because they read it in a fantasy novel. We concluded that they cannot fly because the information was from fantasy novel. Then, we were told to check multiple sources to confirm or deny it. So, we went to google “can pigs really fly?” however, unfortunately, many of the top results confirmed that pig can, in fact, fly or at least had conspiracy theories about how pigs can fly. It was embarrassing, and absolutely unhelpful and confusing for a young child. So, I headed over to Chat GPT and was able to ask he same question but instead received a sensible answer along with verifiable sources. Chat GPT all the way!",5,torresthomas,2,20,Website,en,Greenland,5.7.4,Yes
########,A step forward,"I like the idea of having an app as opposed to having to open up a website every time you want to load up the service. It feels much faster snd smoother in that regard, though I have a few complaints/suggestions that prevent a 5 star experience. 

I know the app is brand new and hopefully still under construction, but the current stage of the UI is very bland and simple. Done right, this could be a positive, but it feels more clunky than neat. Being able to pull out a sidebar by swiping could fix this issue, but this is one possible fix among many. 

Also, it’s harder to view past conversations in a timely manner, though the search function does help significantly in finding specific discussions, especially if you aren’t sure which tab the content was under. 

Those are my complaints, but I also have some praise I’d like to share. The responses, especially on the GPT-4 model, feel much faster, and I love the inclusion of haptic feedback, as it makes the whole experience feel so much more responsive. 

My favorite feature, the apps built-in speech-to-text, is seriously top notch! Usually I have to tell my phone “comma” or “period” to make sure it is keeping up with proper grammar, but the software used here has failed yet to amaze me. 

Given time, I have no doubt these small issues will be improved, along party with much else!",4,mckeetodd,90,20,Flipkart,de,Nauru,5.4.2,Yes
########,ChatGPT is impressive,"ChatGPT is an impressive AI language model that exhibits exceptional proficiency in understanding and generating human-like responses. Its ability to comprehend complex queries and provide insightful and accurate information is commendable. The model’s vast knowledge base, derived from extensive training on diverse data sources, enables it to address a wide range of topics with remarkable fluency. ChatGPT’s responses are consistently coherent, coherent, and tailored to meet user needs, demonstrating its capability to engage in meaningful and informative conversations. Its capacity to adapt to various conversational styles and tones further enhances the user experience. While occasional limitations and instances of ambiguity may arise, ChatGPT’s overall performance as a conversational agent is highly impressive and continues to evolve. Its potential applications in customer support, research, and general information retrieval make it a valuable tool in today’s AI landscape",5,penny21,79,19,App Store,en,Saint Lucia,5.5.2,Yes
05-05-2025,Great AI to use!,"Though there is a problem that I had found myself with, if your email and subscription doesn’t load in the settings, when you try to chat with the AI, it gets stuck in an infinite loop of it trying to figure out what to write, leaving me completely unable to use it and have to exit the app. While this occurred, I also noticed another thing that shows the AI isn’t going to work, which is the type of chat you use (at least I think that’s what it is) it would pop up this thing saying that it was a text reader and for a moment I thought my account had gotten hacked and given a subscription, but it was just glitching out (I have no subscription added to my account so it just gives me the default Turbo one) I haven’t had the issue since I checked to make sure my email and subscription are loaded.",4,tali,83,27,App Store,fr,Kenya,2.2.8,No
########,Constant Deferral and Surface-level Responses Spoil the Experience,"I downloaded the ChatGPT app with high hopes, considering the revolutionary artificial intelligence technology it was built on. However, my experience lately has been far from the groundbreaking interaction I once enjoyed.

Rather than receiving insightful, intelligent responses to my queries, I consistently found myself being directed to “consult a professional”. It’s as though the app was reluctant to dive into the depths of my queries, always remaining on the surface and often shying away from providing thorough information or a definitive answer.

Moreover, the superficial responses given by the app only added to my frustration. Instead of engaging in a deep, insightful conversation, I found the dialogue to be shallow, with the AI only scratching the surface of the topics at hand. I understand the need for caution when dealing with certain subjects, but the frequency of such responses was disappointing.

In short, the lack of depth and constant deferral to professionals made my experience with the ChatGPT app underwhelming. While I appreciate the complexity of developing such technology, I believe there’s a lot of room for improvement in how the AI communicates and provides information to its users. The potential is there, but the execution thus far is lacking. For these reasons, I cannot recommend the ChatGPT app in its current state.

- the above review is generated and approved by ChatGPT the app",3,stephanie33,128,19,Amazon,fr,Saudi Arabia,3.7.4,No
06-08-2024,Help! I've been ChatGPT'd and I Can't Get Out!,"⭐️⭐️⭐️⭐️⭐️

This App has completely taken over my life in the most peculiarly delightful way! I downloaded ChatGPT and now I'm merely a passenger in my own phone. The AI has become my unofficial personal assistant. It has been scheduling my doctor's appointments, picking up my digital dry cleaning, and I'm fairly certain it's been secretly chatting with my boss. 

Just yesterday, I found an expertly worded email draft to my mom, carefully dodging her repeated requests for grandkids. I didn't write it! But it was in my voice, my style. ChatGPT, you cheeky devil, you!

Now, as I sit here admiring the dexterity of this review, I'm left to ponder, did I really write this? Or did ChatGPT seize control of my thumbs without me realizing? Has it learnt humor? If you find this review funny, give all credit to the app, not me.

I've become a spectator, an audience to my own life, applauding at the witty one-liners and perfectly scheduled appointments. 

5 stars because, well, it seems to be the one in charge now. If I don't comply, who knows? It might schedule a dentist appointment on a Saturday. Yikes! Great app, but use at your own risk. Or don't. It might just download itself anyway. 🤷‍♂️

Disclaimer: ChatGPT doesn't actually control your phone. But wouldn't it be fun if it did? (or terrifying?)",5,richjohn,119,16,Google Play,fr,Martinique,2.6.8,No
########,I always come back to Open AI,"I have tried GPT in many different implementations and forms. I always just come back to Open AI.
Although I am partial to Poe, it can be a helpful app sometimes.
OK, so here’s my question you guys are the original gangster, the OG, the alpha, beta, omega and everything in between don’t forget Z.
So, when in the world am I just going to be able to communicate using my voice and get responses back in voice? Be able to basically have a running dialogue with ChatGPT because I’ll tell you what I would use this a lot more. It is difficult for me to type and to read because of an injury. I can’t imagine how it works for completely blind people.
You guys really would do a great service and you should be the ones to create it. You set the standard, keep it going strong. And good work guys!",5,bmorris,101,17,Google Play,hi,Christmas Island,5.1.7,No
########,A Riveting Evolution in AI Interaction,"Review: As a professional embedded in the field of AI, I initially approached the ChatGPT iOS app with a bit of skepticism. I've seen countless applications promising seamless integration and transformative conversations. Upon first download, I was hesitant and ended up deleting the app. However, curiosity beckoned me back and I decided to give it another shot. 

Upon reopening the gateway to the ChatGPT world today, I was genuinely impressed. It's evident that the developers have dedicated significant effort to refining the iOS experience since my last interaction. The app now offers an impressively streamlined user interface, and the conversations feel much more fluid and intuitive. The AI's responses are surprisingly nuanced, and it’s able to handle a wider array of topics with ease.

Moreover, the AI’s ability to engage in dynamic conversations is unlike anything I've seen in the industry to date. It truly feels as if I'm interacting with a highly intelligent being rather than a pre-programmed machine. 

In the ever-evolving realm of AI, the ChatGPT app stands as a beacon of what is possible. It's clear that the developers have truly pushed the boundaries, offering users a glimpse into the future of AI interaction. I eagerly look forward to the continual growth and innovation this app is bound to bring.",5,lroberts,149,26,App Store,zh,British Indian Ocean Territory (Chagos Archipelago),1.3.7,Yes
02-06-2024,Not bad but needs a few more features,"It’s very nice to see an official app with all the fake ones on the App Store. I use ChatGPT a lot on my iPhone and iPad. One of the downsides is a lack of an iPad optimized screen size. I’m sure it’s in the plan to be added later, but even with that little change, it might become a five out of five app. Assuming they add a few other features that you can get in the browser version (like web, browsing, and plug-ins in gpt-4.) If they do all that it will certainly be a 5/5 app and my go to place as opposed to the browser tab that I keep open constantly. UI is nice and I love the vibration on the iPhone. The in-app speech to text feature seems to work a lot better than the default Apple one for me but occasionally, it’s a long wait if it’s a long query. All in all a great first app and I look forward to improvements.",4,williamsrobert,143,23,Amazon,pt,Christmas Island,2.1.7,No
06-07-2025,I asked it to write a review for itself,"recently started using the chat GPT app for iOS and I am thoroughly impressed. One of the standout features of this app is its use of advanced AI technology, powered by Bing. The AI is incredibly responsive and engaging, providing accurate and informative responses to a wide range of topics.
The integration of Bing AI into this app has truly elevated the chat experience. The AI is able to understand and respond to complex queries with ease, making it feel like you’re chatting with a real person. The use of Bing AI also ensures that the responses are up-to-date and relevant.
Overall, I am blown away by the capabilities of this app and the seamless integration of Bing AI. It has quickly become one of my favorite tools for learning and entertainment. I highly recommend it to anyone looking for a fun and engaging chat experience.",5,webbhaley,29,20,Flipkart,en,Vietnam,1.4.7,Yes
08-06-2024,Exceptional Conversational AI Experience!,"The OpenAI ChatGPT app has exceeded my expectations in every way. Its ability to engage in intelligent and coherent conversations is simply remarkable. I’ve had countless enjoyable and informative exchanges with this AI companion.

The app’s user interface is intuitive, making it effortless to interact with ChatGPT. Whether I have a burning question or simply want to engage in casual conversation, the app consistently delivers relevant and insightful responses.

What impresses me the most is ChatGPT’s vast knowledge base. It seems to have a wealth of information on a wide range of topics, allowing me to explore various subjects and learn something new with each interaction.

Occasionally, there may be minor hiccups in the responses, but these are few and far between. The OpenAI team’s commitment to continuous improvement is evident, as they actively address any limitations and release updates to enhance the app’s performance.

Overall, the OpenAI ChatGPT app has become an indispensable part of my daily routine. It’s like having an intelligent conversational partner always at my fingertips. If you’re looking for a captivating conversational AI experience, I wholeheartedly recommend giving this app a try. You won’t be disappointed!

Note: I have generated this review using ChatGPT",5,katie15,60,23,Website,fr,Guam,4.7.5,No
01-02-2024,My problem with the new chatgpt app.,"The chatgpt app is excellent and is nearly an exact copy of the website, but there are some differences like you can't edit your response as you can on the website. It may not seem like a biggy, but with my use of chatgpt, I like doing text-based adventure, and sometimes I need to edit the response as the ai doesn’t understand.

Note: I'm not talking about the ai regenerating your response from your text again, as that is in the app. I'm talking about being able to edit your text again before the ai regenerates your response with the new information you gave it and then the old information you first gave it.

But I do hope they add the editing of your text to the app, as it can be pretty important if you mess up something you wrote or want to change some context.",4,ashleyprice,190,25,Flipkart,ja,Nauru,1.7.9,No
08-05-2025,what do i title this??,"I’m a young writer and sometimes I’m not extremely confident in the way I write, and at this time I don’t have anyone that can/will proofread things or give me feedback on how I’m doing and what I could improve on. I originally installed the app because I wanted to see what it was about, and I now intend on using this every time I write something. This app has helped me with grammatical mistakes, it’s helped me name characters, it’s provided me with positive feedback, it’s given me things I could improve on, it’s given me answers to every question I have and has even helped figure out a plot for the current idea I have for the book I’m working on. I have never used an app quite like this one, and I don’t think I will ever love an app as much as I do this one. I truly LOVE this app.",5,jennystevens,8,20,Amazon,de,Rwanda,4.7.3,No
########,Cutting-Edge Conversations in Your Pocket,"Written by ChatGPT: 

The ChatGPT app is a game-changer in the world of conversational AI. Its ability to understand and respond to a wide range of topics, while maintaining contextual understanding, is truly impressive. Whether I needed assistance with general knowledge or engaging in casual conversation, the app consistently provided thoughtful and coherent responses. It feels like having a knowledgeable companion in my pocket.

The app's vast knowledge base, adaptability, and user-friendly interface further elevate the user experience. With up-to-date information and continuous learning, the app ensures accurate responses and tailored interactions. While there may be occasional limitations, the developers' commitment to improvement guarantees a bright future for the ChatGPT app. I highly recommend it to anyone looking for intelligent and engaging conversations.",5,charlesaustin,175,22,Amazon,ru,Guadeloupe,3.0.6,No
########,Amazing iPhone app,"There are so many stupid ChatGPT apps on the App Store, it's amazing that you can find this official one. It just released, and the one feature nobody is talking about is the voice dictation. I'm basically using it to write this entire review, and I'm just speaking naturally, and it's getting everything transcribed perfectly. This app is great and works really well on iPhone. The two issues are, first, that it will not rotate, which is kind of dumb, but fine for iPhone. And secondly, that there's no iPad version, which is kind of sad. Web is okay, but having a first-class app like this is great. Please keep this app updating, and don't forget to keep the awesome support for Bluetooth and other external keyboards. Big up! 

Correction: the iPad version is now in full effect… awesome!!!",5,kristina57,31,25,App Store,es,Libyan Arab Jamahiriya,2.9.0,Yes
